MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID8024105,166.07825032,23,13,13,0,0,12,3,0,0.0769230769230769,0,0,0,1,0,4.601,1.121
DTXSID5052830,90.031694052,12,6,3,3,0,0,0,0,0.666666666666667,1,3,2,0,57.53,19.0054,0.629
DTXSID2058205,283.133906624001,41,19,15,2,1,6,1,0,0.533333333333333,7,3,0,0,29.54,54.52,1.674
DTXSID101014689,89.995308544,8,6,2,4,0,0,0,0,0,1,4,2,0,74.6,14.4386,0.632
DTXSID6042313,150.016437912,16,10,4,6,0,0,0,0,0.5,3,6,4,0,115.06,26.2134,1.116
DTXSID2057861,150.016437912,16,10,4,6,0,0,0,0,0.5,3,6,4,0,115.06,26.2134,1.116
DTXSID3020914,187.099714036,27,14,12,1,1,0,2,0,0.25,2,2,1,0,43.09,58.6275,1.621
DTXSID8020915,188.083729624,26,14,12,2,0,0,2,0,0.25,2,2,1,0,37.3,58.4053,1.106
DTXSID7022128,130.06299418,19,9,6,3,0,0,0,0,0.5,4,3,1,0,46.53,32.7099,0.829
DTXSID501007165,284.271530392001,56,20,18,2,0,0,0,0,0.944444444444444,15,2,0,2,26.3,71.16,0.519
DTXSID5020493,110.013280714,13,6,2,3,0,0,0,0,1,2,3,0,0,59,15.5367,1.57
DTXSID60394134,292.167459248001,45,21,17,4,0,6,1,0,0.529411764705882,11,3,1,2,63.6,44.3401,1.341
DTXSID20868962,230.188194692,42,16,13,3,0,0,1,0,1,5,3,2,0,49.69,61.9298,0.829
DTXSID5037527,267.147058152,40,19,14,4,1,6,1,0,0.5,8,3,1,0,56.79,47.2073,1.464
DTXSID40868964,326.158091740001,50,20,12,6,0,0,0,0,1,13,6,0,1,55.38,61.39,0.937
DTXSID6074887,150.048824484,18,11,7,3,0,6,1,0,0,2,3,2,0,57.53,11.4231,1.593
DTXSID8027329,140.15650064,30,10,10,0,0,0,0,0,0.8,7,0,0,1,0,37.9673,0.167
DTXSID9041655,208.109944372,31,15,12,3,0,6,1,0,0.416666666666667,5,2,1,0,46.53,30.7479,0.899
DTXSID0052592,242.094294308,32,18,15,3,0,12,2,0,0.133333333333333,5,2,1,1,46.53,18.0203,1.364
DTXSID1074888,86.000393924,8,6,3,3,0,0,1,1,0,0,3,0,0,35.53,16.445,1.748
DTXSID6020856,99.068413908,16,7,5,1,1,0,1,1,0.8,0,2,0,0,20.31,25.3112,0.896
DTXSID40870789,134.04015056,18,8,5,2,0,0,1,1,1,0,2,0,0,42.52,29.5129,1.621
DTXSID00893858,373.815265828,22,13,8,2,0,0,2,1,0.875,1,2,0,0,26.3,59.8733,1.726
